index,Entity,Code,Year,Schizophrenia,Bipolar,Eating,Anxiety,Drug,Depression,Alcohol
6076,United States,USA,1990,0.340897,0.653706,0.468676,6.576884,2.367794,4.677591,2.173751
6077,United States,USA,1991,0.338913,0.653953,0.473575,6.553351,2.345466,4.660871,2.139292
6078,United States,USA,1992,0.337343,0.654205,0.47861,6.536143,2.339515,4.651949,2.107931
6079,United States,USA,1993,0.336207,0.654431,0.483539,6.525536,2.347095,4.648701,2.080669
6080,United States,USA,1994,0.335536,0.65462,0.488235,6.522278,2.365738,4.649294,2.058632
6081,United States,USA,1995,0.335363,0.654721,0.492368,6.526489,2.392582,4.650869,2.042931
6082,United States,USA,1996,0.335806,0.654749,0.496752,6.578023,2.456048,4.662902,2.033987
6083,United States,USA,1997,0.336797,0.65472,0.50156,6.688847,2.564591,4.689154,2.03059
6084,United States,USA,1998,0.338085,0.654658,0.506483,6.818473,2.688823,4.720716,2.031176
6085,United States,USA,1999,0.33941,0.654564,0.511072,6.926351,2.800595,4.749991,2.034175
6086,United States,USA,2000,0.340512,0.654443,0.514863,6.971563,2.869426,4.766992,2.038026
6087,United States,USA,2001,0.341186,0.654371,0.518306,6.971995,2.905605,4.774031,2.043577
6088,United States,USA,2002,0.341483,0.654349,0.52217,6.971891,2.936109,4.778244,2.05148
6089,United States,USA,2003,0.341535,0.654343,0.52613,6.970935,2.96264,4.78168,2.059815
6090,United States,USA,2004,0.341472,0.654313,0.529332,6.968875,2.983414,4.785232,2.066706
6091,United States,USA,2005,0.341427,0.654228,0.531157,6.965249,2.998771,4.791258,2.070251
6092,United States,USA,2006,0.341031,0.65408,0.532178,6.937038,3.000826,4.793213,2.063498
6093,United States,USA,2007,0.340069,0.653896,0.533067,6.875454,2.989141,4.786623,2.045624
6094,United States,USA,2008,0.338901,0.653691,0.533768,6.801899,2.974336,4.776402,2.023935
6095,United States,USA,2009,0.337887,0.653468,0.534175,6.73779,2.966808,4.76595,2.005749
6096,United States,USA,2010,0.33739,0.653247,0.534076,6.704455,2.977144,4.761551,1.998437
6097,United States,USA,2011,0.33719,0.653008,0.533199,6.693384,3.007049,4.762322,1.999569
6098,United States,USA,2012,0.336852,0.652748,0.531514,6.682107,3.05234,4.765481,2.001951
6099,United States,USA,2013,0.336404,0.652479,0.528946,6.671047,3.110712,4.772422,2.005814
6100,United States,USA,2014,0.33586,0.652195,0.52599,6.660473,3.181115,4.782222,2.011345
6101,United States,USA,2015,0.335243,0.65189,0.522109,6.650662,3.262674,4.795954,2.018738
6102,United States,USA,2016,0.334578,0.651569,0.517728,6.642099,3.353142,4.813114,2.028263
6103,United States,USA,2017,0.33389,0.651236,0.512844,6.635055,3.452476,4.83561,2.040087
